ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
11861,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-23,12:44:00,7.27,13.71,31.81
11862,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-07,08:04:00,6.21,13.23,28.15
11863,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-14,13:20:00,3.82,10.0,22.91
11864,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-20,16:11:00,0.76,3.0,15.1
11865,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-28,16:54:00,1.06,6.0,10.62
11866,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-14,03:06:00,3.96,10.0,23.79
11867,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-11,19:26:00,0.73,3.0,14.6
11868,Puerto Lacustre Puno,"-15.835401,-70.014945",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-21,09:21:00,1.03,6.0,10.29
11869,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-26,01:33:00,0.33,3.0,6.6
11870,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-16,00:45:00,2.16,6.0,21.61
11871,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-30,02:41:00,1.7,6.0,16.96
11872,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-13,15:01:00,2.1,6.0,20.95
11873,Urbanización Bellavista Puno,"-15.832755,-70.022242",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-07-21,09:00:00,1.92,6.0,19.21
11874,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-15,18:06:00,1.22,6.0,12.17
11875,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-31,08:45:00,7.85,15.12,31.16
11876,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-29,04:04:00,0.66,3.0,13.18
11877,Colegio Adventista Puno,"-15.8366071,-70.0291852",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-03,08:16:00,1.92,6.0,19.16
11878,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-23,15:59:00,8.71,16.0,32.66
11879,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-29,03:17:00,1.83,6.0,18.33
11880,Avenida La Torre Puno,"-15.8336052,-70.0276202",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-09-21,11:35:00,0.71,3.0,14.28
11881,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-19,15:35:00,0.95,3.08,18.56
11882,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-23,10:42:00,2.65,7.13,22.29
11883,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-09,14:16:00,1.75,6.0,17.52
11884,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-20,12:42:00,2.55,6.0,25.5
11885,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-29,11:11:00,4.43,10.08,26.4
11886,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-31,05:46:00,5.23,12.0,26.15
11887,Avenida Floral Puno,"-15.8268687,-70.0141471",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-07-24,20:38:00,1.66,6.0,16.6
11888,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-05,11:39:00,4.32,10.0,25.9
11889,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-15,08:14:00,1.76,6.0,17.59
11890,Parque San Román Puno,"-15.841093,-70.029431",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-15,00:05:00,1.34,6.0,13.35
11891,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-05,04:14:00,7.44,14.54,30.68
11892,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-07-19,11:38:00,1.75,6.0,17.54
11893,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-10,03:43:00,2.65,6.81,23.33
11894,Plaza Vea Puno,"-15.83636,-70.025604",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-09,07:09:00,2.27,6.0,22.72
11895,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-04,22:09:00,6.62,12.85,30.91
11896,Urbanización Alto Puno,"-15.814292,-70.031918",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-11,10:54:00,4.36,10.0,26.15
11897,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-15,22:22:00,1.84,6.0,18.37
11898,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-16,18:34:00,3.33,10.0,20.0
11899,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-10,09:57:00,3.9,10.0,23.39
11900,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-10-24,11:45:00,1.1,6.0,11.03
11901,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-26,15:08:00,4.16,10.0,24.98
11902,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-18,04:48:00,2.63,7.15,22.06
11903,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-15,04:36:00,2.6,6.48,24.06
11904,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-09-07,11:56:00,6.71,12.0,33.54
11905,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-01,14:48:00,3.59,10.0,21.52
11906,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-01,05:47:00,4.43,10.0,26.56
11907,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-11,21:43:00,2.41,6.0,24.14
11908,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-29,22:35:00,1.65,6.0,16.54
11909,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-04,11:56:00,5.66,12.0,28.3
11910,Urbanización Alto Puno,"-15.814292,-70.031918",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-04,12:01:00,3.02,10.0,18.11
11911,Plaza Vea Puno,"-15.83636,-70.025604",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-30,06:44:00,2.4,6.0,23.96
11912,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-01,15:15:00,7.61,14.07,32.45
11913,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-24,11:27:00,0.95,3.01,18.9
11914,Urbanización Bellavista Puno,"-15.832755,-70.022242",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-13,07:55:00,1.18,6.0,11.75
11915,Avenida El Sol Puno,"-15.8458219,-70.0202123",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-12,16:27:00,1.54,6.0,15.4
11916,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-05,08:28:00,3.82,10.0,22.93
11917,Parque del Niño Puno,"-15.858797,-70.012071",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-21,07:22:00,3.2,10.0,19.18
11918,Jr. Lima Puno,"-15.838756,-70.02816",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-06,22:36:00,7.34,14.78,29.79
11920,Colegio Adventista Puno,"-15.8366071,-70.0291852",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-02,07:28:00,0.27,3.0,5.34
11921,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-10-19,07:56:00,0.99,3.0,19.84
11922,Avenida Floral Puno,"-15.8268687,-70.0141471",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-09-05,10:01:00,1.9,6.0,18.97
11923,Avenida Floral Puno,"-15.8268687,-70.0141471",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-09-14,00:50:00,9.45,18.19,31.16
11924,Colegio Don Bosco Puno,"-15.883085,-70.001176",Parque San Román Puno,"-15.841093,-70.029431",2024-09-05,10:03:00,8.73,16.8,31.17
11925,Avenida El Sol Puno,"-15.8458219,-70.0202123",Parque San Román Puno,"-15.841093,-70.029431",2024-11-02,14:12:00,1.7,6.0,17.04
11926,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-22,13:43:00,1.76,6.0,17.55
11927,Plaza Vea Puno,"-15.83636,-70.025604",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-29,07:17:00,2.21,6.0,22.08
11928,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,10:38:00,0.32,3.0,6.34
11929,Parque del Periodista Puno,"-15.839012,-70.023311",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-28,06:14:00,0.78,3.0,15.68
11930,Jr. Tarapacá Puno,"-15.83755,-70.029158",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-01,20:45:00,6.44,12.0,32.18
11931,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-30,18:19:00,2.1,6.0,21.01
11932,Salcedo Puno,"-15.8687992,-69.9986595",Senati Puno,"-15.8699536,-69.9988485",2024-09-19,20:06:00,0.2,3.0,4.02
11933,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-25,13:33:00,0.24,3.0,4.72
11934,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-04,22:09:00,1.56,6.0,15.61
11935,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-30,22:28:00,4.22,10.0,25.3
11936,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-15,19:21:00,8.11,16.08,30.27
11937,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-30,03:01:00,0.69,3.0,13.74
11938,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-26,12:48:00,0.16,3.0,3.26
11939,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Parque San Román Puno,"-15.841093,-70.029431",2024-09-04,20:39:00,0.22,3.0,4.5
11940,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-26,15:39:00,2.27,6.0,22.72
11941,Av. Costanera Puno,"-15.8399095,-70.0176539",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-02,14:36:00,2.44,6.0,24.36
11942,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-01,10:06:00,0.91,3.02,18.02
11943,Avenida La Torre Puno,"-15.8336052,-70.0276202",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-25,06:29:00,1.05,6.0,10.46
11944,Plaza Vea Puno,"-15.83636,-70.025604",Senati Puno,"-15.8699536,-69.9988485",2024-08-28,01:54:00,7.18,13.25,32.51
11945,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-26,21:01:00,1.15,6.0,11.52
11946,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-18,19:53:00,0.51,3.0,10.18
11947,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-25,17:30:00,6.84,13.95,29.43
11948,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-08,15:18:00,3.83,10.0,23.0
11949,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-25,15:03:00,3.4,10.0,20.38
11950,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-13,08:47:00,3.86,10.0,23.17
11951,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-24,20:22:00,2.43,6.32,23.05
11952,Parque Pino Puno,"-15.8378073,-70.0280672",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-08,02:04:00,0.49,3.0,9.76
11953,Terminal Terrestre Puno,"-15.843678,-70.017225",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-16,17:53:00,1.95,6.0,19.46
11954,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-07,09:51:00,4.03,10.0,24.17
11955,Urbanización Bellavista Puno,"-15.832755,-70.022242",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-02,19:44:00,1.89,6.0,18.94
11956,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-14,01:48:00,1.42,6.0,14.17
11957,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-16,05:34:00,2.48,6.51,22.84
11958,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-24,20:43:00,2.47,6.88,21.56
11959,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-09,06:56:00,0.89,3.0,17.8
11960,Terminal Terrestre Puno,"-15.843678,-70.017225",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-30,13:43:00,3.18,10.0,19.07
11961,Urbanización Alto Puno,"-15.814292,-70.031918",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-19,21:44:00,3.74,10.0,22.47
11962,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-10,10:49:00,2.6,6.63,23.51
11963,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-02,07:28:00,1.17,6.0,11.67
11964,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-16,04:27:00,1.58,6.0,15.85
11965,Terminal Terrestre Puno,"-15.843678,-70.017225",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-18,03:54:00,1.36,6.0,13.59
11966,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-17,20:21:00,0.54,3.0,10.84
11967,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-03,22:59:00,9.52,19.42,29.4
11968,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-04,19:26:00,2.12,6.0,21.22
11969,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-06,01:43:00,5.86,12.0,29.3
11970,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-11,17:33:00,7.61,15.83,28.86
11971,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-04,08:01:00,5.58,12.0,27.88
11972,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-23,02:45:00,3.64,10.0,21.81
11973,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-18,10:44:00,7.94,14.16,33.64
11974,Parque Pino Puno,"-15.8378073,-70.0280672",Senati Puno,"-15.8699536,-69.9988485",2024-07-21,05:13:00,7.02,14.64,28.76
11975,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-23,10:39:00,8.4,16.67,30.23
11976,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-06,23:46:00,1.32,6.0,13.15
11977,Plaza Vea Puno,"-15.83636,-70.025604",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-22,18:24:00,10.4,18.44,33.83
11978,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-13,01:46:00,1.06,6.0,10.56
11979,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-11-07,23:05:00,2.28,6.0,22.81
11980,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-26,21:27:00,4.76,10.0,28.54
11981,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-06,13:38:00,1.74,6.0,17.39
11982,Parque San Román Puno,"-15.841093,-70.029431",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-23,06:39:00,1.01,6.0,10.08
11983,Parque del Periodista Puno,"-15.839012,-70.023311",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-04,07:04:00,1.05,6.0,10.47
11984,Colegio Adventista Puno,"-15.8366071,-70.0291852",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-04,01:28:00,7.74,15.72,29.54
11985,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-19,07:24:00,6.48,12.06,32.26
11986,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-13,03:07:00,1.62,6.0,16.23
11987,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-11-16,08:13:00,0.39,3.0,7.86
11988,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-29,16:37:00,2.44,6.64,22.01
11989,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-08,18:56:00,1.72,6.0,17.25
11990,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-12,00:07:00,2.44,6.27,23.34
11991,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-11-12,01:28:00,4.75,10.32,27.6
11992,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-03,16:56:00,1.43,6.0,14.29
11993,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Senati Puno,"-15.8699536,-69.9988485",2024-06-14,19:38:00,7.38,13.87,31.93
11994,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-18,09:34:00,1.79,6.0,17.94
11995,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-25,15:40:00,1.5,6.0,14.99
11996,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-23,17:31:00,5.12,12.0,25.59
11997,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-06,03:29:00,5.09,12.0,25.46
11998,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-06,07:27:00,3.46,10.0,20.77
11999,Senati Puno,"-15.8699536,-69.9988485",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-01,23:47:00,7.61,13.39,34.09
12000,Colegio Don Bosco Puno,"-15.883085,-70.001176",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-29,00:05:00,9.08,16.71,32.59
12001,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-20,13:37:00,1.24,6.0,12.39
12002,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-02,20:45:00,3.2,10.0,19.18
12003,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-09-19,07:17:00,0.98,3.15,18.74
12004,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-04,02:17:00,1.76,6.0,17.57
12005,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-27,16:03:00,5.76,12.0,28.82
12006,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-30,08:40:00,2.99,7.03,25.49
12007,Parque San Román Puno,"-15.841093,-70.029431",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-03,06:18:00,3.36,10.0,20.17
12008,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Alto Puno,"-15.814292,-70.031918",2024-09-05,15:58:00,6.81,13.21,30.94
12009,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-07,09:32:00,6.38,12.0,31.91
12010,Avenida El Sol Puno,"-15.8458219,-70.0202123",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-01,01:56:00,1.63,6.0,16.28
12011,Salcedo Puno,"-15.8687992,-69.9986595",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-27,04:34:00,6.15,12.46,29.63
12012,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-24,04:24:00,1.52,6.0,15.21
12013,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-19,20:03:00,2.13,6.0,21.33
12014,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-18,20:30:00,1.24,6.0,12.36
12015,Jayllihuaya Puno,"-15.8787471,-69.9751057",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-07-12,08:28:00,9.64,16.88,34.27
12016,Plaza Vea Puno,"-15.83636,-70.025604",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-11-06,21:30:00,0.14,3.0,2.82
12017,Jr. Lima Puno,"-15.838756,-70.02816",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-04,08:41:00,4.16,10.0,24.94
12018,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-10,20:58:00,0.65,3.0,12.94
12019,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-25,09:23:00,0.56,3.0,11.18
12020,Parque San Román Puno,"-15.841093,-70.029431",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-13,04:20:00,0.89,3.03,17.66
12021,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-02,17:23:00,3.9,10.0,23.41
12022,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-26,16:23:00,3.87,10.0,23.23
12023,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-12,12:31:00,6.29,12.0,31.46
12024,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-08-07,09:52:00,4.65,10.21,27.34
