ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
15742,Urbanización Huajsapata Puno,"-15.856,-70.0235",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-07-30,00:37:00,2.66,9.12
15743,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-04,04:56:00,1.79,7.63
15744,Real Plaza Puno,"-15.8426,-70.0141",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-04,13:41:00,2.38,9.73
15745,Puerto Lacustre Puno,"-15.8491,-70.0185",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-20,14:39:00,1.97,5.8
15746,Jirón Lima Puno,"-15.8387563,-70.0281599",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-19,14:39:00,1.87,6.43
15747,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-08-24,15:01:00,2.07,6.75
15748,Puerto Lacustre Puno,"-15.8491,-70.0185",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-24,17:20:00,0.98,4.05
15749,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-12,08:06:00,2.63,11.11
15750,Real Plaza Puno,"-15.8426,-70.0141",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-11,22:49:00,1.39,4.76
15751,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-03,20:43:00,4.95,14.45
15752,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-01,19:38:00,6.37,23.12
15753,Jirón Lima Puno,"-15.8387563,-70.0281599",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-19,22:14:00,0.81,2.65
15754,Avenida Floral Puno,"-15.8268687,-70.0141471",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-03,23:25:00,1.42,4.22
15755,Isla Esteves Puno,"-15.8275387,-69.9925844",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-07-24,12:48:00,4.67,13.11
15756,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-21,17:51:00,3.08,9.69
15757,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-28,16:52:00,3.49,9.55
15758,Isla Esteves Puno,"-15.8275387,-69.9925844",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-03,22:27:00,4.82,14.43
15759,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-01,07:06:00,2.12,6.97
15760,Urbanización Bellavista Puno,"-15.84,-70.028",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-06,22:10:00,4.58,16.73
15761,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-07-17,22:33:00,0.8,2.77
15762,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-11-23,02:00:00,4.32,11.49
15763,Real Plaza Puno,"-15.8426,-70.0141",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-02,16:41:00,2.0,6.96
15764,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-23,21:05:00,0.8,2.87
15765,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-25,07:41:00,0.96,2.99
15766,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-02,10:23:00,0.96,3.87
15767,Urbanización Huajsapata Puno,"-15.856,-70.0235",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-24,09:24:00,1.37,4.47
15768,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-11-02,18:50:00,7.82,22.83
15769,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-26,19:09:00,6.62,19.9
15770,Puerto Lacustre Puno,"-15.8491,-70.0185",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-01,14:38:00,1.12,3.3
15771,Av. Costanera Puno,"-15.8399095,-70.0176539",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-01,01:25:00,1.68,6.28
15772,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-19,10:16:00,4.31,13.88
15773,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-07,09:49:00,6.06,21.75
15774,Urbanización Alto Puno,"-15.8282,-70.0481",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-10-02,05:00:00,0.8,2.83
15775,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-06-27,01:48:00,0.8,2.9
15776,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-07-05,10:35:00,0.8,3.16
15777,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-28,23:00:00,1.34,4.47
15778,Isla Esteves Puno,"-15.8275387,-69.9925844",Terminal Terrestre Puno,"-15.848,-70.0146",2024-11-06,08:40:00,4.6,11.88
15779,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-06-07,17:33:00,1.41,5.06
15780,Colegio Adventista Puno,"-15.8366071,-70.0291852",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-11,20:55:00,2.43,9.22
15781,Jirón Lima Puno,"-15.8387563,-70.0281599",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-09-12,07:44:00,1.68,5.99
15782,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-09-06,16:03:00,1.83,6.84
15783,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-31,15:36:00,1.12,3.59
15784,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-07-03,02:23:00,0.8,3.26
15785,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-12,18:17:00,0.8,3.31
15786,Jirón Lima Puno,"-15.8387563,-70.0281599",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-13,02:34:00,1.3,5.34
15787,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Los Incas Puno,"-15.84,-70.028",2024-08-17,22:10:00,0.8,3.0
15788,Terminal Terrestre Puno,"-15.848,-70.0146",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-05,21:13:00,1.83,6.84
15789,Urbanización Alto Puno,"-15.8282,-70.0481",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-23,16:24:00,6.3,22.53
15790,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-19,15:25:00,2.8,11.43
15791,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-04,07:13:00,0.8,3.31
15792,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-04,19:44:00,0.84,3.47
15793,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-23,20:58:00,2.11,7.46
15794,Parque del Niño Puno,"-15.841,-70.024",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-11-08,12:00:00,2.21,8.16
15795,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-16,07:21:00,2.34,6.91
15796,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Real Plaza Puno,"-15.8426,-70.0141",2024-10-05,02:40:00,1.95,6.28
15797,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Alto Puno,"-15.8282,-70.0481",2024-07-12,05:47:00,2.59,9.15
15798,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-08,11:01:00,1.02,3.37
15799,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.84,-70.028",2024-11-29,09:45:00,2.83,8.79
15800,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-16,11:19:00,0.8,3.16
15801,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-07,14:01:00,1.06,3.28
15802,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-08,12:42:00,5.76,16.45
15803,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-06-21,08:06:00,3.23,10.63
15804,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-11,16:13:00,0.8,2.86
15805,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-26,17:38:00,2.68,8.13
15806,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-07-12,00:04:00,2.36,7.8
15807,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-11-25,18:21:00,3.39,9.82
15808,Parque del Niño Puno,"-15.841,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-08-03,11:11:00,1.3,4.42
15809,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-25,07:48:00,2.1,7.09
15810,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-08-09,08:49:00,1.3,4.91
15811,Parque del Niño Puno,"-15.841,-70.024",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-20,05:36:00,6.66,25.13
15812,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-04,13:24:00,3.05,10.95
15813,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-08,20:33:00,3.2,8.61
15814,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-09-13,09:02:00,2.84,11.16
15815,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-28,21:56:00,2.46,7.65
15816,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-26,17:16:00,3.96,10.32
15817,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-07-31,21:48:00,6.29,18.33
15818,Avenida La Torre Puno,"-15.8336052,-70.0276202",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-06-23,00:47:00,0.8,3.21
15819,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-09,11:31:00,6.47,18.12
15820,Colegio Don Bosco Puno,"-15.8282,-70.0481",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-29,02:14:00,11.57,32.51
15821,Puerto Lacustre Puno,"-15.8491,-70.0185",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-26,09:28:00,1.85,6.5
15822,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Real Plaza Puno,"-15.8426,-70.0141",2024-11-28,10:36:00,2.68,9.55
15823,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-28,10:23:00,0.91,3.47
15824,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-24,20:13:00,0.8,3.23
15825,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-29,02:11:00,1.45,5.31
15826,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-10-21,21:20:00,3.12,8.54
15827,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Senati Puno,"-15.8699536,-69.9988485",2024-07-30,07:03:00,6.64,19.29
15828,Puerto Lacustre Puno,"-15.8491,-70.0185",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-09-06,14:43:00,4.95,17.92
15829,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-18,04:13:00,6.23,23.31
15830,Avenida La Torre Puno,"-15.8336052,-70.0276202",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-25,01:24:00,2.11,7.95
15831,Real Plaza Puno,"-15.8426,-70.0141",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-22,07:38:00,0.8,3.3
15832,Urbanización Huajsapata Puno,"-15.856,-70.0235",Senati Puno,"-15.8699536,-69.9988485",2024-07-23,16:01:00,4.06,11.3
15833,Avenida Floral Puno,"-15.8268687,-70.0141471",Real Plaza Puno,"-15.8426,-70.0141",2024-09-02,13:26:00,2.3,9.21
15834,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-01,02:19:00,2.06,6.79
15835,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-26,13:41:00,0.8,2.62
15836,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-12,02:42:00,0.8,2.75
15837,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-10-26,03:05:00,0.8,3.06
15838,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-10-07,22:48:00,1.6,5.03
15839,Avenida El Sol Puno,"-15.8458219,-70.0202123",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-27,23:44:00,1.63,5.95
15840,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-11-16,13:52:00,7.57,19.84
15841,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Los Incas Puno,"-15.84,-70.028",2024-06-02,22:22:00,3.57,9.31
15842,Urbanización Alto Puno,"-15.8282,-70.0481",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-11-16,20:22:00,3.25,9.56
15843,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-10-02,19:49:00,3.19,8.75
15844,Colegio Adventista Puno,"-15.8366071,-70.0291852",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-24,12:35:00,0.8,3.38
15845,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-10-06,12:59:00,3.21,9.77
15846,Salcedo Puno,"-15.8687992,-69.9986595",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-09-19,20:49:00,4.81,13.6
15847,Av. Costanera Puno,"-15.8399095,-70.0176539",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-06,11:01:00,3.04,8.07
15848,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-09-30,01:25:00,1.97,7.55
15849,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-07-30,21:14:00,4.79,15.96
15850,Hospital ESSALUD Puno,"-15.84,-70.0213",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-06-15,07:01:00,1.1,3.61
15851,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-22,10:46:00,3.53,10.13
15852,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-19,10:25:00,0.8,3.21
15853,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-11-28,12:38:00,3.31,10.0
15854,Av. Costanera Puno,"-15.8399095,-70.0176539",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-02,02:29:00,1.44,4.86
15855,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-17,22:50:00,4.41,13.23
15856,Av. Costanera Puno,"-15.8399095,-70.0176539",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-21,22:04:00,5.26,14.86
15857,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-01,09:05:00,1.06,3.6
15858,Jirón Lima Puno,"-15.8387563,-70.0281599",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-19,20:49:00,2.12,7.44
15859,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-24,23:55:00,0.8,2.7
15860,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-02,17:20:00,2.01,7.69
15861,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-10-14,06:15:00,0.8,2.54
15862,Real Plaza Puno,"-15.8426,-70.0141",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-08-14,04:57:00,2.53,10.48
15863,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-10,17:38:00,0.8,2.73
15864,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-06,08:14:00,4.89,16.16
15865,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Alto Puno,"-15.8282,-70.0481",2024-10-13,17:56:00,5.23,13.88
15866,Hospital ESSALUD Puno,"-15.84,-70.0213",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-26,02:51:00,0.8,2.72
15867,Catedral Basílica de Puno,"-15.8409556,-70.029004",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-12,01:25:00,0.8,3.33
15868,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-10-25,22:07:00,1.78,5.48
15869,Parque Pino Puno,"-15.8378073,-70.0280672",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-07-02,03:24:00,5.12,17.25
15870,Puerto Lacustre Puno,"-15.8491,-70.0185",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-08,04:58:00,2.08,8.32
15871,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-09-18,14:45:00,5.8,18.19
15872,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-30,07:54:00,2.74,11.72
15873,Urbanización Huajsapata Puno,"-15.856,-70.0235",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-11-16,20:43:00,2.84,8.78
15874,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-30,20:03:00,4.57,14.06
15875,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Los Incas Puno,"-15.84,-70.028",2024-06-10,04:54:00,1.37,5.23
15876,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-16,09:44:00,6.22,18.24
15877,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-02,04:58:00,2.96,11.14
15878,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-04,23:14:00,1.16,4.63
15879,Real Plaza Puno,"-15.8426,-70.0141",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-06-15,13:27:00,0.99,3.05
15880,Puerto Lacustre Puno,"-15.8491,-70.0185",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-30,14:13:00,3.29,11.04
15881,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-10-27,20:43:00,1.88,6.98
15882,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-01,12:20:00,1.82,7.28
15883,Isla Esteves Puno,"-15.8275387,-69.9925844",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-09-15,07:41:00,5.21,16.15
15884,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-16,07:23:00,0.8,3.15
15885,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-08,12:25:00,1.41,4.91
15886,Real Plaza Puno,"-15.8426,-70.0141",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-10-11,15:35:00,1.54,5.43
15887,Salcedo Puno,"-15.8687992,-69.9986595",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-16,22:24:00,4.11,13.76
15888,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-04,11:35:00,0.8,3.07
15889,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-16,02:34:00,0.8,2.75
15890,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-08-19,20:31:00,3.06,10.16
15891,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-11,10:51:00,3.13,11.94
15892,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-28,19:28:00,1.72,6.86
15893,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-06,01:46:00,7.56,22.27
15894,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-16,01:24:00,8.75,21.51
15895,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-06-08,13:05:00,1.02,3.51
15896,Avenida Floral Puno,"-15.8268687,-70.0141471",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-04,15:04:00,1.95,7.33
15897,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-08-15,02:37:00,1.0,3.4
15898,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-11-22,08:10:00,5.8,18.99
15899,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-12,09:33:00,2.44,7.94
15900,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Senati Puno,"-15.8699536,-69.9988485",2024-07-15,10:08:00,5.0,13.74
15901,Terminal Terrestre Puno,"-15.848,-70.0146",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-05,23:06:00,3.71,11.52
15902,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-06-08,09:49:00,5.95,18.73
15903,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-03,11:37:00,0.81,2.81
15904,Isla Esteves Puno,"-15.8275387,-69.9925844",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-16,15:57:00,2.98,11.12
15905,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-31,02:53:00,1.35,4.91
15906,Catedral Basílica de Puno,"-15.8409556,-70.029004",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-12,11:49:00,0.99,3.03
15907,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-10-24,21:37:00,0.99,3.99
15908,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-10,19:52:00,1.09,3.89
15909,Municipalidad Provincial de Puno,"-15.84,-70.025",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-10-12,19:39:00,0.8,4.46
15910,Avenida La Torre Puno,"-15.8336052,-70.0276202",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-21,13:24:00,2.43,9.93
15911,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-08,00:37:00,7.53,18.54
