ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
9635,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-14,18:45:00
9636,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-27,07:39:00
9637,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-09-04,17:09:00
9638,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-16,07:31:00
9639,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-04,08:46:00
9640,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-22,13:28:00
9641,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-15,15:11:00
9642,Jr. Tarapacá Puno,"-15.83755,-70.029158",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-25,03:22:00
9643,Senati Puno,"-15.8699536,-69.9988485",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-09-04,14:08:00
9644,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-21,04:01:00
9645,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-23,19:43:00
9646,Senati Puno,"-15.8699536,-69.9988485",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-08,18:25:00
9647,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-25,08:56:00
9648,Ministerio de Cultura Puno,"-15.842631,-70.028915",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-29,10:20:00
9649,Avenida El Sol Puno,"-15.8458219,-70.0202123",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-10-12,03:00:00
9650,Jr. Lima Puno,"-15.838756,-70.02816",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-09,00:14:00
9651,Av. Costanera Puno,"-15.8399095,-70.0176539",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-06-15,13:13:00
9652,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-04,11:58:00
9653,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-31,14:20:00
9654,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-26,09:20:00
9655,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-05,07:01:00
9656,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-07,19:55:00
9657,Av. Costanera Puno,"-15.8399095,-70.0176539",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-03,14:35:00
9658,Parque del Niño Puno,"-15.858797,-70.012071",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-16,18:09:00
9659,Urbanización Bellavista Puno,"-15.832755,-70.022242",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-26,21:33:00
9660,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-30,16:50:00
9661,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-20,01:39:00
9662,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Parque del Niño Puno,"-15.858797,-70.012071",2024-11-20,03:21:00
9663,Colegio Adventista Puno,"-15.8366071,-70.0291852",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-27,19:39:00
9664,Parque del Periodista Puno,"-15.839012,-70.023311",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-28,00:31:00
9665,Parque San Román Puno,"-15.841093,-70.029431",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-20,10:36:00
9666,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-11-29,14:18:00
9667,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-11-05,08:59:00
9668,Avenida Floral Puno,"-15.8268687,-70.0141471",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-15,05:17:00
9669,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-02,19:09:00
9670,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-01,15:01:00
9671,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-13,20:17:00
9672,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-22,20:24:00
9673,Plaza Vea Puno,"-15.83636,-70.025604",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-08,14:02:00
9674,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-07,05:44:00
9675,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-05,22:11:00
9676,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-07-07,14:08:00
9677,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque San Román Puno,"-15.841093,-70.029431",2024-08-31,03:28:00
9678,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-13,08:33:00
9679,Parque del Niño Puno,"-15.858797,-70.012071",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-27,05:59:00
9680,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-14,14:54:00
9681,Parque del Niño Puno,"-15.858797,-70.012071",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-08-02,13:00:00
9682,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-25,23:16:00
9683,Puerto Lacustre Puno,"-15.835401,-70.014945",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-11,00:53:00
9684,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-21,19:04:00
9685,Jr. Lima Puno,"-15.838756,-70.02816",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-24,17:05:00
9686,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-19,15:29:00
9687,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-27,16:19:00
9688,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-14,14:16:00
9689,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-04,10:15:00
9690,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-05,21:15:00
9691,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-17,22:08:00
9692,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-25,22:03:00
9693,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-17,14:14:00
9694,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-15,14:45:00
9695,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-08,17:25:00
9696,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-19,07:35:00
9697,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-18,03:44:00
9698,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-24,21:09:00
9699,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque San Román Puno,"-15.841093,-70.029431",2024-06-14,18:24:00
9700,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Parque San Román Puno,"-15.841093,-70.029431",2024-07-28,05:07:00
9701,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-13,14:20:00
9702,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-01,15:40:00
9703,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-02,18:44:00
9704,Urbanización Alto Puno,"-15.814292,-70.031918",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-11-18,19:21:00
9705,Terminal Terrestre Puno,"-15.843678,-70.017225",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-07,04:03:00
9706,Avenida Floral Puno,"-15.8268687,-70.0141471",Senati Puno,"-15.8699536,-69.9988485",2024-11-24,00:05:00
9707,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-24,19:52:00
9708,Colegio Don Bosco Puno,"-15.883085,-70.001176",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-15,18:19:00
9709,Puerto Lacustre Puno,"-15.835401,-70.014945",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-07,06:16:00
9710,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-12,08:23:00
9711,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-19,01:22:00
9712,Jr. Tarapacá Puno,"-15.83755,-70.029158",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-13,21:15:00
9713,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-11-16,08:30:00
9714,Ministerio de Cultura Puno,"-15.842631,-70.028915",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-24,23:17:00
9715,Parque del Niño Puno,"-15.858797,-70.012071",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-01,16:34:00
9716,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-07,18:21:00
9717,Urbanización Bellavista Puno,"-15.832755,-70.022242",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-10,01:13:00
9718,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-08,13:44:00
9719,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-15,14:36:00
9720,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-22,16:37:00
9721,Parque Pino Puno,"-15.8378073,-70.0280672",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-21,22:59:00
9722,Urbanización Alto Puno,"-15.814292,-70.031918",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-22,00:37:00
9723,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque San Román Puno,"-15.841093,-70.029431",2024-08-17,06:31:00
9724,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-01,19:00:00
9725,Parque Pino Puno,"-15.8378073,-70.0280672",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-16,03:03:00
9726,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-28,02:56:00
9727,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-07,09:42:00
9728,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-14,11:53:00
9729,Jr. Tarapacá Puno,"-15.83755,-70.029158",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-08-19,03:36:00
9730,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-18,07:55:00
9731,Urbanización Alto Puno,"-15.814292,-70.031918",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-24,09:37:00
9732,Avenida El Sol Puno,"-15.8458219,-70.0202123",Parque San Román Puno,"-15.841093,-70.029431",2024-09-20,06:30:00
9733,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-02,01:47:00
9734,Jayllihuaya Puno,"-15.8787471,-69.9751057",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-21,18:37:00
9735,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-10,18:24:00
9736,Jr. Tarapacá Puno,"-15.83755,-70.029158",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-14,12:05:00
9737,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-02,12:42:00
9738,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-03,23:31:00
9739,Parque San Román Puno,"-15.841093,-70.029431",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-13,19:08:00
9740,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-29,22:29:00
9741,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-07-20,11:43:00
9742,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-15,13:18:00
9743,Urbanización Bellavista Puno,"-15.832755,-70.022242",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-07-13,06:29:00
9744,Puerto Lacustre Puno,"-15.835401,-70.014945",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-22,10:24:00
9745,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-08,15:42:00
9746,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-08,15:47:00
9747,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-28,19:54:00
9748,Terminal Terrestre Puno,"-15.843678,-70.017225",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-30,08:39:00
9749,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-26,07:36:00
9750,Plaza Vea Puno,"-15.83636,-70.025604",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-18,01:14:00
9751,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-27,12:07:00
9752,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-06-07,20:41:00
9753,Jr. Los Incas Puno,"-15.836837,-70.024882",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-15,10:57:00
9754,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-20,02:30:00
9755,Urbanización Bellavista Puno,"-15.832755,-70.022242",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-07-10,06:17:00
9756,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Alto Puno,"-15.814292,-70.031918",2024-07-12,01:25:00
9757,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-09-01,12:47:00
9758,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-01,17:38:00
9759,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-09-01,14:14:00
9760,Parque San Román Puno,"-15.841093,-70.029431",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-21,13:23:00
9761,Parque San Román Puno,"-15.841093,-70.029431",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-07-27,17:55:00
9762,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-09,03:35:00
9763,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-22,02:50:00
9764,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-27,11:10:00
9765,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-16,04:17:00
9766,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-28,16:00:00
9767,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-13,22:53:00
9768,Jr. Lima Puno,"-15.838756,-70.02816",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-10-28,06:44:00
9769,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-13,18:01:00
9770,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-10,05:30:00
9771,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-30,06:23:00
9772,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-14,09:35:00
9773,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,08:06:00
9774,Senati Puno,"-15.8699536,-69.9988485",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-25,11:54:00
9775,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-06-23,11:45:00
9776,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-05,11:02:00
9777,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-18,19:19:00
9778,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-26,12:21:00
9779,Urbanización Bellavista Puno,"-15.832755,-70.022242",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-27,21:52:00
9780,Urbanización Bellavista Puno,"-15.832755,-70.022242",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-28,02:09:00
9781,Parque del Niño Puno,"-15.858797,-70.012071",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-20,18:28:00
9782,Terminal Terrestre Puno,"-15.843678,-70.017225",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-01,19:53:00
9783,Urbanización Bellavista Puno,"-15.832755,-70.022242",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-10-26,13:17:00
9784,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-11-03,18:36:00
9785,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-03,17:43:00
9786,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-02,07:37:00
9787,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-12,15:14:00
9788,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-11-15,10:35:00
9789,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-10,20:45:00
9790,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-22,03:34:00
9791,Salcedo Puno,"-15.8687992,-69.9986595",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-03,13:44:00
9792,Avenida La Torre Puno,"-15.8336052,-70.0276202",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-19,16:13:00
9793,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-14,19:31:00
9794,Avenida El Sol Puno,"-15.8458219,-70.0202123",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-24,12:47:00
9795,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-08-02,19:00:00
9796,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-29,21:51:00
9797,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-18,15:12:00
9798,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-30,11:55:00
9799,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-25,03:41:00
9800,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-07,21:12:00
9801,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-30,15:39:00
9802,Parque del Periodista Puno,"-15.839012,-70.023311",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-08-06,06:13:00
9803,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-28,04:54:00
9804,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-05,03:15:00
9805,Parque del Niño Puno,"-15.858797,-70.012071",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-07-09,19:53:00
9806,Puerto Lacustre Puno,"-15.835401,-70.014945",Parque San Román Puno,"-15.841093,-70.029431",2024-08-26,06:01:00
9807,Parque del Periodista Puno,"-15.839012,-70.023311",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-07,18:40:00
9808,Parque del Niño Puno,"-15.858797,-70.012071",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-01,11:09:00
9809,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-08-06,18:13:00
9810,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-27,10:06:00
9811,Puerto Lacustre Puno,"-15.835401,-70.014945",Parque San Román Puno,"-15.841093,-70.029431",2024-08-25,03:59:00
9812,Terminal Terrestre Puno,"-15.843678,-70.017225",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-10,00:12:00
9813,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-11,19:56:00
9814,Jr. Tarapacá Puno,"-15.83755,-70.029158",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-21,10:15:00
9815,Parque del Niño Puno,"-15.858797,-70.012071",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-27,14:41:00
9816,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-15,22:31:00
9817,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-17,15:26:00
9818,Parque del Niño Puno,"-15.858797,-70.012071",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-01,09:18:00
9819,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-23,07:01:00
9820,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-24,00:53:00
9821,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-18,08:11:00
9822,Senati Puno,"-15.8699536,-69.9988485",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-07,16:22:00
9823,Parque Pino Puno,"-15.8378073,-70.0280672",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-15,00:33:00
9824,Colegio Adventista Puno,"-15.8366071,-70.0291852",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-16,08:55:00
